C—digo,Clave,Descripci—n,Caja,Master,Unidad,C—gido EAN,Precio Publico con iVA,Precio Publico sin iVA,Precio Mayoreo con IVA,Precio Mayoreo sin IVA,Precio Subdistribuidor con IVA,Precio Subdistribuidor sin IVA,Precio Distribuidor con IVA,Precio Distribuidor sin IVA,Marca,Codigo SAT,Descripcion SAT
22606,218-P,"Pinza pesada de electricista 8', Pretul",6,36,Pieza,7501206644812,147,126.72,126,108.62,115,99.14,105,90.52,Pretul,27112105,Pinzas
22612,219-P,"Pinza pesada de electricista 9', Pretul",6,36,Pieza,7501206644829,159,137.07,138,118.97,125,107.76,115,99.14,Pretul,27112105,Pinzas
11835,425-002,Empaque para tapadera para fumigadora FM-425,10,30,Pieza,7506240622734,24,20.69,22,18.97,18,15.52,15,12.93,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11906,425-004,Coladera para fumigadora FM-425,10,30,Pieza,7506240622772,42,36.21,36,31.03,32,27.59,26,22.41,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11908,425-008-C,Abrazadera de plástico completa para fumigadora FM-425,10,30,Pieza,7506240622796,67,57.76,58,50,50,43.1,42,36.21,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11907,425-008-C1,Pistola económica con manguera completa para FM-425,1,10,Pieza,7506240622789,305,262.93,265,228.45,225,193.97,189,162.93,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11827,425-012,Balancín con perno integrado para fumigadora FM-425,10,50,Pieza,7506240622666,83,71.55,72,62.07,62,53.45,52,44.83,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11829,425-019-C,Cámara de presión con O ring completo para fumigadora 425,1,10,Pieza,7506240622680,205,176.72,179,154.31,155,133.62,129,111.21,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11828,425-020,Válvula de alivio tipo J para fumigadora FM-425,10,50,Pieza,7506240622673,14.5,12.5,13,11.21,11,9.48,9,7.76,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11696,425-021,O ring para cámara para fumigadora FM-425,10,100,Pieza,7506240622512,12,10.34,10.5,9.05,9,7.76,7.5,6.47,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11694,425-022,"Empaque Chek-N para fumigadora FM-425, 2 piezas",10,100,Par,7506240622499,16,13.79,14,12.07,12,10.34,10,8.62,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11698,425-023,O ring chico para cilindro de fumigadora FM-425,10,100,Pieza,7506240622536,7.5,6.47,6.5,5.6,5.5,4.74,4.5,3.88,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11695,425-024-C,Cilindro completo para fumigadora FM-425,1,10,Juego,7506240622505,155,133.62,135,116.38,115,99.14,95,81.9,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11731,425-027,O ring grande para cilindro para fumigadora FM-425,10,50,Pieza,7506240622567,16,13.79,14,12.07,12,10.34,10,8.62,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11699,425-031,Pistón con perno integrado para fumigadora FM-425,1,10,Pieza,7506240622543,42,36.21,36,31.03,32,27.59,26,22.41,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11905,425-031-C,Pistón con perno integrado completo para fumigadora FM-425,1,10,Pieza,7506240622765,126,108.62,109,93.97,94,81.03,79,68.1,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11738,425-031-C1,Pistón completo para fumigadora FM-425,1,10,Pieza,7506240622635,155,133.62,135,116.38,115,99.14,95,81.9,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11831,425-034-C,Cinta completa con hombreras para fumigadora FM-425,1,10,Pieza,7506240622840,265,228.45,229,197.41,199,171.55,165,142.24,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11910,425-035,Hebilla para cinta para fumigadora FM-425,10,50,Pieza,7506240622819,14.5,12.5,13,11.21,11,9.48,9,7.76,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11904,425-036,Gancho para cinta para fumigadora FM-425,10,50,Pieza,7506240622758,19,16.38,17,14.66,14.5,12.5,12,10.34,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11830,425-041-C,Protector con perno completo para fumigadora FM-425,10,50,Pieza,7506240622697,34,29.31,29,25,25,21.55,21,18.1,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11734,425-043,"Juego de bielas para fumigadores FM-425, 2 piezas",10,50,Juego,7506240622598,16,13.79,14,12.07,12,10.34,10,8.62,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11739,425-045-C,Tornillo para balancín completo para fumigadora FM- 425,10,50,Juego,7506240622642,35,30.17,32,27.59,26,22.41,22,18.97,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11691,425-054-C,Anillo pistón completo para fumigadora FM425,10,100,Juego,7506240622468,42,36.21,36,31.03,32,27.59,26,22.41,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11912,425-059,Tuerca unión para fumigadora FM-425,10,50,Pieza,7506240622833,26,22.41,22,18.97,19,16.38,16,13.79,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11903,425-060,O ring para tapón para fumigadora FM-425,10,50,Pieza,7506240622741,7.5,6.47,6.5,5.6,5.5,4.74,4.5,3.88,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11733,425-063,Empaque para vástago-N para fumigadora FM-425,10,100,Pieza,7506240622581,13,11.21,11.5,9.91,10,8.62,8,6.9,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11693,425-064,"Medida ó Taza dosificadora, FM-425",10,100,Pieza,7506240622482,14.5,12.5,13,11.21,11,9.48,9,7.76,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11911,425-065,Asiento para vástago para fumigadora FM-425,10,50,Pieza,7506240622826,22,18.97,20,17.24,17,14.66,14,12.07,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11826,425-067,Resorte para vástago para fumigadora FM-425,10,50,Pieza,7506240622659,18,15.52,15.5,13.36,13.5,11.64,11,9.48,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11730,425-069,"O ring para vástago -N para fumigadora FM-425, 2 piezas",10,50,Par,7506240622550,9,7.76,8,6.9,7,6.03,5.5,4.74,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11736,425-075-C,Pistola económica completa para FM-425,1,10,Pieza,7506240622611,158,136.21,138,118.97,118,101.72,99,85.34,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11833,425-081,Manguera 3/8' para fumigadora FM-425,1,10,Pieza,7506240622710,99,85.34,86,74.14,74,63.79,62,53.45,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11737,425-082,Abrazadera SX9-18 para fumigadora FM-425,10,50,Pieza,7506240622628,26,22.41,22,18.97,19,16.38,16,13.79,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11732,425-083,"O ring de plástico para boquilla, FM-425",10,100,Pieza,7506240622574,9,7.76,8,6.9,7,6.03,5.5,4.74,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11697,425-085,Tubo rociador 500 mm para fumigadora FM-425,1,10,Pieza,7506240622529,195,168.1,168,144.83,145,125,120,103.45,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11690,425-114,"Empaque de nitrilo para boquilla, FM-425",10,100,Pieza,7506240622451,7.5,6.47,6.5,5.6,5.5,4.74,4.5,3.88,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11735,425-116-C,Palanca de bombeo completa para fumigadora FM-425,1,10,Pieza,7506240622604,295,254.31,259,223.28,225,193.97,185,159.48,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11909,425-141,Tope plástico para palanca para fumigadora FM-425,10,50,Pieza,7506240622802,42,36.21,36,31.03,32,27.59,26,22.41,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11834,425-166-C,Vástago de plástico completo para fumigadora FM-425,10,50,Pieza,7506240622727,42,36.21,36,31.03,32,27.59,26,22.41,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11707,425-204-C,Juego de empaques para fumigador FM-425,10,100,Set,7506240640547,94,81.03,82,70.69,70,60.34,59,50.86,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11832,425-211,Tuerca plástica para boquilla para fumigadora FM-425,10,100,Pieza,7506240622703,29,25,25,21.55,22,18.97,18,15.52,Truper,21101800,Aparatos dispersores o aspersores para agricultura
11692,425-262-C,"Boquilla de plástico, FM-425",10,100,Pieza,7506240622475,46,39.66,42,36.21,35,30.17,29,25,Truper,21101800,Aparatos dispersores o aspersores para agricultura
12009,4C,"Cepillo para carpintero # 4, estriado",1,10,Pieza,7501206620045,1015,875,889,766.38,765,659.48,635,547.41,Truper,27111903,Cepillos de carpintero
12006,4L,"Cepillo para carpintero # 4, liso",1,10,Pieza,7501206620038,999,861.21,875,754.31,749,645.69,625,538.79,Truper,27111903,Cepillos de carpintero
12015,5C,"Cepillo para carpintero # 5, estriado",1,10,Pieza,7501206620069,1049,904.31,915,788.79,785,676.72,655,564.66,Truper,27111903,Cepillos de carpintero
12012,5L,"Cepillo para carpintero # 5, liso",1,10,Pieza,7501206620052,1035,892.24,905,780.17,775,668.1,645,556.03,Truper,27111903,Cepillos de carpintero
12021,6C,"Cepillo para carpintero # 6, estriado",1,6,Pieza,7501206620083,1525,1314.66,1335,1150.86,1145,987.07,955,823.28,Truper,27111903,Cepillos de carpintero
12018,6L,"Cepillo para carpintero # 6, liso",1,6,Pieza,7501206620076,1515,1306.03,1325,1142.24,1135,978.45,945,814.66,Truper,27111903,Cepillos de carpintero
16711,A-31-30,"Aceite multiusos, 30 ml",10,100,Pieza,7501206689868,15,12.93,13,11.21,11.5,9.91,10,8.62,Truper,15121501,Aceite motor
16712,A-31-90,"Aceite multiusos, 90 ml",10,100,Pieza,7501206689875,26,22.41,22,18.97,20,17.24,17,14.66,Truper,15121501,Aceite motor
13420,A-5253,Adaptador para matraca de cuadro 3/8' a cuadro 1/2',6,72,Pieza,7501206647523,46,39.66,42,36.21,35,30.17,29,25,Truper,27112700,Herramientas mecánicas
13422,A-5254,Adaptador para matraca de cuadro 1/2' a cuadro 3/8',6,72,Pieza,7501206647530,54,46.55,48,41.38,42,36.21,34,29.31,Truper,27112700,Herramientas mecánicas
