codigo,descripcion_producto
75000578,ACEITE CAPULLO 12/1L
7501026003981,ACEITE COMESTIBLE KOLSA 12/1L
7501491000935,ACEITE COMESTIBLE OLEICO 12/946ML
75002343,ACEITE COMESTIBLE VEGETAL 123 12/1L
75009830,ACEITE CORONA 24/500ML
75003838,ACEITE PIRAMIDE 12/L
75016661,ACEITE PIRAMIDE 24/500ML
75009854,ACEITE VEGETAL COMESTIBLE LA CORONA 12/1L
823703800193,ACEITE VEGETAL MAXIMA 12/900ML
7501039120149,ACEITE VEGETAL NUTRIOLI 12/946ML
7501052472102,CATSUP CLEMENTE JAQUES SQUEEZABLE 24/350G
7501017050161,CATSUP LA COSTEÑA 14/400
7501003340122,MAYONESA MCCORMIC 190G #8
7501003340160,MAYONESA MCCORMIC INST 3.4KG
7501003340139,MAYONESA MCCORMICK #16 12/390ML
7501003340146,MAYONESA MCCORMICK #32 12/790G
7501003340115,MAYONESA MCCORMICK #4 24/105G
7501003340153,MAYONESA MCCORMICK #64 6/1.73KG
7503000720082,ALCOHOL ETILICO LOURDES 125ML/48
7503000720129,ALCOHOL ETILICO LOURDES 24/500ML
7503000720105,ALCOHOL ETILICO LOURDES 36/250ML
7503000142136,ALCOHOL LAS CAÑITAS 225ML/36
7503000142129,ALCOHOL LAS CAÑITAS 435ML/24
706460235982,ALIMENTO PERRO ADULTO PEDIGREE CARNE DE RES 375G
7501067280143,PAPEL ALUMINIO ALUPAK 24/7.5M
10900000406,PAPEL ALUMINIO REYNOLDS WRAP 24/7.6M
7501017361236,PELICULA AUTOADHERENTE KLEEN PACK 24/30 MTS
10900002844,PELICULA PLASTICA REYNOLDS 12/30.4M
7501032938215,AROMATIZANTE GLADE CAMPOS DE LAVANDA12/400ML
46500005602,AROMATIZANTE GLADE HAWAIIAN BREEZE12/400ML
7501032900243,AROMATIZANTE GLADE MANZANA CANELA
46500005657,AROMATIZANTE GLADE NEUTRALIZER 2 EN 1 12/400ML
7501868901025,GASA DIBAR 100/10X10
7501868900035,GASA DIBAR100/75X5
704903231201,GASA SIMPLE ESTERILIZADA JALOMA 100/7.5X5CM
759684471155,VENDA JALOMA # 10CM C/10P
759684471100,VENDA JALOMA #7 CM C/10P
7501040492037,AZUCAR IMPERIAL OBSCURA 24/454G
7501030448136,BARRA BRAN-FRUT CHOCO/FRESA BIMBO 40gr
7501030476139,BARRA BRAN-FRUT CITRUS BIMBO 40gr
7501000116447,BARRA BRAN-FRUT FRESA BIMBO 40gr
7501000109340,BARRA BRAN-FRUT MANZ/CAN BIMBO 40gr
